iter	Passed	Remaining
0	3	356
1	5	280
2	7	252
3	9	219
4	11	210
5	12	193
6	13	183
7	14	171
8	16	162
9	17	155
10	18	152
11	20	149
12	21	145
13	23	143
14	24	140
15	26	139
16	27	136
17	29	132
18	30	129
19	31	127
20	33	124
21	34	122
22	35	119
23	36	117
24	38	114
25	39	112
26	40	110
27	42	108
28	43	106
29	44	104
30	45	102
31	47	100
32	48	98
33	49	96
34	51	95
35	52	93
36	53	91
37	55	90
38	56	88
39	57	86
40	59	84
41	59	82
42	61	80
43	62	79
44	63	77
45	64	76
46	66	74
47	67	73
48	68	71
49	70	70
50	71	68
51	72	67
52	74	66
53	75	64
54	76	62
55	78	61
56	79	59
57	81	58
58	83	57
59	84	56
60	86	55
61	88	54
62	90	52
63	91	51
64	93	50
65	95	49
66	97	47
67	98	46
68	100	45
69	102	43
70	104	42
71	105	41
72	107	39
73	109	38
74	111	37
75	113	35
76	115	34
77	116	32
78	118	31
79	120	30
80	122	28
81	124	27
82	125	25
83	127	24
84	129	22
85	130	21
86	132	19
87	134	18
88	136	16
89	138	15
90	140	13
91	141	12
92	143	10
93	145	9
94	146	7
95	148	6
96	149	4
97	151	3
98	153	1
99	154	0
